1.71401 2.26016 2.68544 1.76499 2.72426 2.46359 1.46689 1.86031 1.91304 2.00988
1.88374 2.78714 3.25172 2.94974 3.14032 3.25845 2.36719 2.67916 2.27001 2.51531
2.3413 2.62581 3.6338 3.5673 3.66078 3.79032 1.92182 3.06892 3.31164 2.47162
1.73074 2.76277 2.87334 2.94044 3.06751 2.88108 1.86637 2.81635 2.44339 2.449
1.61465 1.90316 2.14492 2.46212 1.96356 2.29593 1.4364 2.17428 1.95688 1.19581
1.94537 2.98154 3.20856 3.28699 3.23116 3.09449 2.14993 2.65692 2.82221 2.4103
2.51723 2.54375 3.58763 3.54737 3.93663 4.20726 2.99076 3.2425 2.85514 2.5397
2.13957 2.60767 3.73227 3.47176 3.98469 3.59769 2.17285 3.0033 3.04074 3.00118
2.53383 2.3983 3.86221 3.48063 3.7972 4.30416 2.68287 3.28984 2.77028 2.58653
1.20535 2.20375 2.41251 2.49227 2.56938 2.48303 2.14445 1.93381 1.77903 2.18241
